#timestamp,tobii_system_timestamp,toii_device_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_origin_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_point_in_user_coordinate_system,left_gaze_point_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_x,left_gaze_y,left_pupil_validity,left_pupil,right_gaze_origin_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_point_in_user_coordinate_system,right_gaze_point_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_x,right_gaze_y,right_pupil_validity,right_pupil
1644591002620.944,80754991943,25830278145,671.631638,497.780525,3.057693,1,-36.192371,33.855343,588.644043,-2.809388,117.032829,0.573076,0.394946,0.494576,0.670738,1,3.131454,1,22.226114,43.204029,589.923035,-5.812527,130.775604,0.431901,0.365882,0.488779,0.625565,1,2.983932
1644591002631.9421,80755003048,25830289249,671.635363,498.101875,3.059235,1,-36.275974,33.845448,588.625000,-2.647931,117.151070,0.573281,0.394973,0.494888,0.670350,1,3.131882,1,22.132139,43.256855,589.912598,-5.971179,130.402771,0.432126,0.365709,0.488473,0.626791,1,2.986588
1644591002642.932,80755014151,25830300352,669.326355,499.214607,3.063835,1,-36.408936,33.827972,588.623047,-2.572882,117.200813,0.573603,0.395027,0.495033,0.670186,1,3.135132,1,22.011978,43.330036,589.925537,-7.797406,129.471497,0.432416,0.365475,0.484947,0.629852,1,2.992538
1644591002654.9302,80755025254,25830311455,668.396213,498.286835,3.071854,1,-36.553234,33.806980,588.646667,-1.788366,117.154633,0.573949,0.395097,0.496548,0.670338,1,3.146454,1,21.881315,43.393257,589.965698,-9.287418,130.252716,0.432734,0.365280,0.482071,0.627284,1,2.997253
1644591002664.9329,80755036357,25830322558,669.104913,498.091324,3.077263,1,-36.652870,33.789967,588.614685,-1.769243,117.383087,0.574195,0.395145,0.496584,0.669587,1,3.150284,1,21.772215,43.431004,589.947266,-8.768981,130.179123,0.432995,0.365153,0.483071,0.627526,1,3.004242
1644591002676.93,80755047460,25830333661,672.084354,496.140244,3.076134,1,-36.814114,33.752861,588.482056,-0.803837,118.050911,0.574605,0.395238,0.498448,0.667392,1,3.152313,1,21.596954,43.467220,589.837891,-7.474710,131.057022,0.433407,0.365008,0.485570,0.624640,1,2.999954
1644591002687.9312,80755058563,25830344764,668.496136,496.723412,3.080208,1,-36.991512,33.716160,588.350952,-2.289750,117.992073,0.575055,0.395330,0.495580,0.667585,1,3.152252,1,21.410927,43.499504,589.731079,-8.710190,130.653854,0.433846,0.364877,0.483185,0.625965,1,3.008163
1644591002697.938,80755069667,25830355867,657.140598,497.440819,3.081093,1,-37.138329,33.692448,588.272278,-6.588963,117.363205,0.575422,0.395390,0.487280,0.669652,1,3.157303,1,21.253494,43.526058,589.665771,-13.023232,130.714371,0.434220,0.364774,0.474859,0.625767,1,3.004883
1644591002709.938,80755080770,25830366970,644.432960,496.425362,3.081963,1,-37.379959,33.681824,588.226868,-11.966164,117.327751,0.576014,0.395412,0.476899,0.669769,1,3.155777,1,21.018921,43.579559,589.649780,-17.283756,131.554352,0.434784,0.364595,0.466634,0.623006,1,3.008148
1644591002720.929,80755091874,25830378074,633.684774,495.979019,3.085785,1,-37.602150,33.692871,588.155762,-16.286072,117.586151,0.576563,0.395361,0.468560,0.668919,1,3.160034,1,20.795071,43.646435,589.607300,-21.115454,131.649521,0.435319,0.364367,0.459237,0.622693,1,3.011536
1644591002731.929,80755102977,25830389177,635.273582,495.297958,3.083183,1,-37.745556,33.741276,588.329285,-15.785496,117.803925,0.576882,0.395235,0.469526,0.668204,1,3.155106,1,20.660406,43.725964,589.823792,-20.411098,131.971375,0.435662,0.364161,0.460596,0.621635,1,3.011261
1644591002743.0378,80755114081,25830400280,632.327707,495.916718,3.085197,1,-37.949871,33.834522,588.608459,-16.822989,117.321312,0.577333,0.394984,0.467523,0.669790,1,3.157837,1,20.497971,43.852379,590.111694,-21.607813,131.963760,0.436077,0.363822,0.458286,0.621660,1,3.012558
1644591002754.93,80755125184,25830411383,634.119088,494.153549,3.082481,1,-38.160797,33.946049,588.908203,-16.325808,119.223793,0.577795,0.394678,0.468483,0.663536,1,3.154968,1,20.330847,44.010307,590.425598,-20.746344,131.458160,0.436505,0.363387,0.459949,0.623322,1,3.009995
1644591002764.931,80755136287,25830422486,633.977621,492.567879,3.080322,1,-38.289398,34.023716,588.936035,-16.383781,119.569611,0.578101,0.394431,0.468371,0.662400,1,3.153259,1,20.192919,44.127342,590.476929,-20.795645,132.368576,0.436840,0.363022,0.459854,0.620329,1,3.007385
1644591002776.867,80755147390,25830433589,634.417370,490.935242,3.079597,1,-38.464828,34.137756,588.917664,-16.364052,120.039719,0.578527,0.394058,0.468409,0.660854,1,3.155197,1,20.029985,44.261223,590.482788,-20.481871,133.191910,0.437232,0.362592,0.460460,0.617623,1,3.003998
1644591002787.926,80755158493,25830444692,633.850586,491.762215,3.082939,1,-38.628811,34.244995,588.843628,-16.256960,118.404701,0.578934,0.393697,0.468616,0.666229,1,3.156647,1,19.872450,44.381214,590.434082,-21.018827,134.171753,0.437606,0.362193,0.459423,0.614402,1,3.009232
1644591002798.9521,80755169596,25830455795,635.110010,493.075745,3.088959,1,-38.747520,34.307686,588.766785,-15.501755,118.651642,0.579232,0.393479,0.470074,0.665417,1,3.163452,1,19.735090,44.482170,590.366821,-20.818897,132.884201,0.437931,0.361850,0.459809,0.618634,1,3.014465
1644591002810.083,80755180700,25830466899,636.812297,494.520058,3.097763,1,-38.920273,34.396835,588.667908,-14.761973,118.004433,0.579665,0.393170,0.471502,0.667545,1,3.170258,1,19.567053,44.591942,590.295593,-20.267609,132.387161,0.438329,0.361479,0.460873,0.620268,1,3.025269
1644591002821.0808,80755191803,25830478002,635.410042,495.738808,3.103310,1,-39.071922,34.473949,588.602051,-15.744206,117.459984,0.580041,0.392907,0.469606,0.669334,1,3.173309,1,19.395588,44.703297,590.250793,-20.348869,131.966019,0.438737,0.361108,0.460716,0.621652,1,3.033310
1644591002832.084,80755202906,25830489105,634.394064,494.270370,3.107033,1,-39.184357,34.525383,588.582703,-16.083269,117.364700,0.580316,0.392737,0.468951,0.669647,1,3.180359,1,19.269976,44.789715,590.245239,-20.780348,133.224686,0.439039,0.360827,0.459883,0.617515,1,3.033707
1644591002843.09,80755214009,25830500208,635.002698,493.211884,3.109131,1,-39.360683,34.606567,588.611389,-15.777703,118.296738,0.580737,0.392478,0.469541,0.666584,1,3.184647,1,19.104172,44.912613,590.292297,-20.624317,133.131256,0.439441,0.360442,0.460185,0.617822,1,3.033615
1644591002855.082,80755225113,25830511311,639.374664,491.695976,3.112976,1,-39.530731,34.689247,588.686157,-14.145041,118.397568,0.581136,0.392224,0.472693,0.666252,1,3.192474,1,18.942249,45.026318,590.388000,-18.941204,134.231415,0.439838,0.360098,0.463434,0.614206,1,3.033478
1644591002865.085,80755236216,25830522414,639.656561,492.363899,3.111671,1,-39.635792,34.745022,588.738098,-13.841581,118.090233,0.581381,0.392053,0.473279,0.667262,1,3.189377,1,18.827440,45.113255,590.460938,-19.030832,134.009521,0.440119,0.359835,0.463261,0.614935,1,3.033966
