#timestamp,date_time,label
1644842525766,2022-02-14_14-42-05.766887,1
1644842555741,2022-02-14_14-42-35.741506,2
1644842586415,2022-02-14_14-43-06.415811,3
1644842625201,2022-02-14_14-43-45.201905,4
1644842655191,2022-02-14_14-44-15.191110,5
1644842690612,2022-02-14_14-44-50.612083,6
1644842711877,2022-02-14_14-45-11.877996,7
