,participant,document,paragraph,Unnamed: 0,#timestamp,fixation_x,fixation_y,fixation_duration,saccade_length,saccade_angle,saccade_velocity
0,P10,D05,p2,0,1645095630243.265,504.0289238059702,444.2958093731343,724.261962890625,,,
1,P10,D05,p2,1,1645095630986.9448,513.4308531666667,436.3084081875,577.645263671875,12.336727824013932,-0.704232269839795,0.6353253516289613
2,P10,D05,p2,2,1645095631586.555,569.2198,483.1905078333333,310.890869140625,72.87206499046343,0.6988635057531685,3.3176682620591564
3,P10,D05,p2,3,1645095631919.63,,,622.7421875,,,
4,P10,D05,p2,4,1645095632564.189,776.0442841999999,428.9292331111111,477.458984375,,,
5,P10,D05,p2,5,1645095633063.508,895.3033969583333,411.643056825,1310.672119140625,120.50538521783749,-0.1439439022501582,5.512570587702145
6,P10,D05,p2,6,1645095634396.0928,937.356469526316,414.4673576842105,611.1591796875,42.14780644056514,0.0670596888282293,1.9234509345606303
7,P10,D05,p2,7,1645095635029.114,1050.643791064516,419.0776636451613,322.02294921875,113.38109252584022,0.0406732485274926,5.186203390240226
8,P10,D05,p2,8,1645095635373.468,1096.9590578103448,409.4675521724138,622.64697265625,47.3017777282831,-0.2045902455826525,2.1182061658180737
9,P10,D05,p2,9,1645095636018.6702,1217.485001723404,415.3419187872341,498.456787109375,120.6690156554666,0.0487008975802633,5.349947915536891
10,P10,D05,p2,10,1645095636539.471,1317.9335923636363,424.7911776818183,466.358154296875,100.89206041738773,0.093794575533806,4.515399519996723
11,P10,D05,p2,11,1645095637027.8062,,,699.353759765625,,,
12,P10,D05,p2,12,1645095637749.662,466.85567379069767,451.8826674883721,477.5439453125,,,
13,P10,D05,p2,13,1645095638228.2131,,,886.65380859375,,,
14,P10,D05,p2,14,1645095639137.558,656.26473375,461.0402590333333,666.097900390625,,,
15,P10,D05,p2,15,1645095639825.626,,,406.22900390625,,,
16,P10,D05,p2,16,1645095640235.86,810.391312885246,456.6088935409837,588.643798828125,,,
17,P10,D05,p2,17,1645095640847.491,918.5239208,450.27786328,255.05810546875,108.31778634467854,-0.0584819977819232,4.712119939119572
18,P10,D05,p2,18,1645095641124.6008,1034.19419196875,448.18962964062496,688.8740234375,115.68911941917789,-0.0180513695958307,5.24625385435712
19,P10,D05,p2,19,1645095641835.558,1170.1347667804876,452.3985809024391,433.0048828125,136.0057173462568,0.030951811869186,6.158772160683093
20,P10,D05,p2,20,1645095642290.229,1248.4018594696968,453.62110139393934,710.649169921875,78.27663990216625,0.0156185829907677,3.6128765554772486
21,P10,D05,p2,21,1645095643023.1272,1345.994573575,457.88397745,422.28369140625,97.68577152640393,0.0436525211310002,4.390564457843024
22,P10,D05,p2,22,1645095643467.781,,,643.508056640625,,,
23,P10,D05,p2,23,1645095644229.885,485.6643004358975,512.0271173717948,747.8330078125,,,
24,P10,D05,p2,24,1645095644999.802,597.7892032105262,506.314306236842,399.787109375,112.27034351636942,-0.0509064025648862,5.083790207869563
25,P10,D05,p2,25,1645095645421.163,685.468575423077,504.9697708076923,266.64599609375,87.6896806192568,-0.0153334817505239,4.064604793831134
26,P10,D05,p2,26,1645095645710.837,778.8633994482759,496.6315862068966,299.96923828125,93.76629712820493,-0.0890427951095193,4.07186820717465
27,P10,D05,p2,27,1645095646032.928,883.4764046399999,481.57710026000007,532.224853515625,105.6906732042567,-0.1429252218211612,4.777664935213555
28,P10,D05,p2,28,1645095646587.449,1030.5846247903223,474.4794020322581,665.89794921875,147.27934599232782,-0.0482107550677372,6.6055976039920585
29,P10,D05,p2,29,1645095647276.344,1116.3146753770493,477.2536787540984,655.304931640625,85.77492748427194,0.0323493208620407,3.7298197691576913
30,P10,D05,p2,30,1645095647953.0562,1201.5272167857142,480.5999253571428,444.69287109375,85.27821867072403,0.0392492474676452,3.983618261886839
31,P10,D05,p2,31,1645095648418.477,1318.9470632105265,486.1425296491228,612.571044921875,117.5505882450782,0.0471682885628403,5.671093842922902
32,P10,D05,p2,32,1645095649051.861,,,1196.697998046875,,,
33,P10,D05,p2,33,1645095650248.559,449.8769998787879,533.5064477272728,325.26708984375,,,
34,P10,D05,p2,34,1645095650595.574,539.6825000925926,534.2187491018519,1176.892822265625,89.80832501444341,0.0079314344490963,4.129535572459954
35,P10,D05,p2,35,1645095651839.5269,670.5313580188679,533.0623720943396,610.601318359375,130.8539675684084,-0.0088372716609619,1.951295157093764
36,P10,D05,p2,36,1645095652472.511,741.9830819574469,530.1556394468086,499.238037109375,71.51082399524651,-0.040658651452061,3.194898942894085
37,P10,D05,p2,37,1645095653038.416,862.9688034210525,518.0996652894737,399.536865234375,121.58491399409505,-0.0993200353578771,1.82376480480984
38,P10,D05,p2,38,1645095653460.326,,,566.60791015625,,,
39,P10,D05,p2,39,1645095654048.897,,,1258.869873046875,,,
40,P10,D05,p2,40,1645095655330.26,1276.2146383125,538.8351776562499,332.97314453125,,,
41,P10,D05,p2,41,1645095655685.287,1372.4751568055556,525.3041381388889,378.57080078125,97.20687450469886,-0.1396518683151796,4.4076844339416
42,P10,D05,p2,42,1645095656085.357,1338.94852565,511.6681310624999,865.85205078125,36.1935862498869,-2.755305206028328,1.6834990833469992
43,P10,D05,p2,43,1645095656973.688,1432.1815442291663,514.8895688333333,510.677001953125,93.28865640952588,0.0345388011251203,4.150035152740382
44,P10,D05,p2,44,1645095657562.146,499.1331624634146,574.914459195122,533.2041015625,934.977149548925,3.077349158796086,12.020635876570264
45,P10,D05,p2,45,1645095658116.596,,,597.80908203125,,,
46,P10,D05,p2,46,1645095658738.918,969.3611916363636,684.4042123090911,588.43994140625,,,
47,P10,D05,p2,47,1645095659360.92,672.26114705,569.3897311999999,199.691162109375,318.5855730537916,-2.772235542385285,9.492445677081038
