,participant,document,paragraph,Unnamed: 0,#timestamp,fixation_x,fixation_y,fixation_duration,saccade_length,saccade_angle,saccade_velocity
0,P03,D10,p1,0,1644583164173.734,207.06895136470587,499.8534902117647,922.9130859375,,,
1,P03,D10,p1,1,1644583165129.649,,,687.024169921875,,,
2,P03,D10,p1,2,1644583165839.165,274.07103183333334,304.83363225000005,644.328125,,,
3,P03,D10,p1,3,1644583166505.493,,,1023.319091796875,,,
4,P03,D10,p1,4,1644583167548.798,462.4908754342106,281.38903094736844,844.638916015625,,,
5,P03,D10,p1,5,1644583168415.441,555.6248741525424,283.0029648644068,632.60205078125,93.14798172775824,0.0173274251475137,4.233247527482001
6,P03,D10,p1,6,1644583169071.0398,607.1914399746835,293.7212236835443,854.835205078125,52.66869832076003,0.2049348698796771,2.290259443938989
7,P03,D10,p1,7,1644583169946.873,699.859407777778,288.3654346481481,578.64794921875,92.82260895356812,-0.0577312499841957,4.420535371986501
8,P03,D10,p1,8,1644583170569.519,202.47803830357145,318.86634164285715,599.35302734375,498.3156951446914,3.0803463706901253,11.32585945372584
9,P03,D10,p1,9,1644583171191.8718,277.43617208661414,308.37090781102364,1387.4072265625,75.68933842725093,-0.139112886983367,3.290875733204749
10,P03,D10,p1,10,1644583172601.278,365.6379938241759,304.9344401868132,988.760986328125,88.2687411689827,-0.0389417167970823,4.012393614641909
11,P03,D10,p1,11,1644583173612.0378,443.1576568490567,314.96088105660374,654.0751953125,78.1653866619137,0.1286265226250617,3.5531692739431846
12,P03,D10,p1,12,1644583174290.112,525.0925604500001,318.91810255,462.739990234375,82.03040917881421,0.0482596394096385,3.4180727975221057
13,P03,D10,p1,13,1644583174753.8518,188.1675589714286,344.0685051809524,1134.84619140625,337.862397099521,3.067083952613167,337.94490317939875
14,P03,D10,p1,14,1644583175910.14,274.1128229519231,333.3216967692308,1132.418212890625,86.61456166093049,-0.1243968145957599,4.039501338591889
15,P03,D10,p1,15,1644583177064.559,,,410.946044921875,,,
16,P03,D10,p1,16,1644583177497.506,441.051530245614,344.9049729649123,610.794921875,,,
17,P03,D10,p1,17,1644583178130.299,527.1548161964286,347.5831364642857,636.2861328125,86.14492678769373,0.0310940551849874,3.916026148921175
18,P03,D10,p1,18,1644583178767.584,623.0480186792452,356.88935684905664,552.028076171875,96.34371811519624,0.0967447950813236,96.46146893176332
19,P03,D10,p1,19,1644583179340.6091,706.9748801232876,361.4586845616438,787.9609375,84.05115601580093,0.054390464466641,4.00299445421981
20,P03,D10,p1,20,1644583180152.564,757.9496387887324,358.3563113661972,765.7470703125,51.06907812408765,-0.060785991160989,2.1284195402503387
21,P03,D10,p1,21,1644583180939.312,,,265.628173828125,,,
22,P03,D10,p1,22,1644583181228.921,761.7743888571428,352.30203800000004,210.30615234375,,,
23,P03,D10,p1,23,1644583181484.217,204.40662228455284,371.1365991869919,1366.31005859375,557.6859043486967,3.1078135257416317,12.39577740389443
24,P03,D10,p1,24,1644583182871.533,278.6108001789474,359.85077494736845,1032.412109375,75.05751025547426,-0.1509347877715591,3.573170176736664
25,P03,D10,p1,25,1644583183926.944,366.5076736761905,366.9850639428572,1221.491943359375,88.18593113451546,0.0809890433845588,3.834333721784376
26,P03,D10,p1,26,1644583185170.435,425.8010002330097,374.90051652427184,1143.876953125,59.81933603561836,0.1327118622432177,2.719181431192489
27,P03,D10,p1,27,1644583186335.312,490.3405671549296,377.63438453521127,766.3369140625,64.59744370151358,0.042334257000273,3.076068747691123
28,P03,D10,p1,28,1644583187123.6511,558.6691260253165,376.8559599746836,855.962890625,68.3329927787475,-0.0113918821026144,3.1057349388239115
29,P03,D10,p1,29,1644583188001.615,612.4680985925925,346.37553185185175,278.06494140625,61.833534169135376,-0.5154694206398651,2.8104904340714025
30,P03,D10,p1,30,1644583188313.586,221.3705636727273,403.2738508454546,1198.734130859375,395.21475241277744,2.997122518440505,11.656187226886257
31,P03,D10,p1,31,1644583189533.319,326.6309122741937,397.9528814677419,666.578857421875,105.39475178025133,-0.0505075658198744,5.019031103705406
32,P03,D10,p1,32,1644583190221.897,,,587.841064453125,,,
33,P03,D10,p1,33,1644583190810.739,458.5514305467626,405.7511401223022,1499.2890625,,,
34,P03,D10,p1,34,1644583192331.026,534.6779808095239,406.16825783809526,1145.880126953125,76.12769300390985,0.0054792124448179,3.6255075812900666
35,P03,D10,p1,35,1644583193496.906,629.9165452987013,411.80823612987,833.358154296875,95.40541662343335,0.0591503990583577,4.770270831171668
36,P03,D10,p1,36,1644583194352.261,679.1799794062499,410.5786946875001,689.378173828125,49.27877547410538,-0.0249533199475318,2.2402675317365968
37,P03,D10,p1,37,1644583195063.638,659.4738810000001,411.8059561724138,299.68505859375,19.744277275938803,3.07939472561807,0.8975169489855986
38,P03,D10,p1,38,1644583195408.3171,234.1457478356164,427.02767031506846,932.700927734375,425.6004246268328,3.105819754209956,9.459018857009958
39,P03,D10,p1,39,1644583196362.191,288.2729475376344,424.4794754516129,1011.412109375,54.18714833467691,-0.0470431655653983,2.5592749363363847
40,P03,D10,p1,40,1644583197395.27,373.503106,423.1520123571429,632.546142578125,85.24049548065243,-0.0155737803912244,3.9341176081573934
41,P03,D10,p1,41,1644583198082.813,468.61702248648646,426.415274027027,390.302001953125,95.16987961600276,0.0342955299498677,1.7304613055047888
42,P03,D10,p1,42,1644583198494.171,542.0925568125,429.2463717708333,512.031982421875,73.53005684023492,0.0385121109081943,3.4921341853742507
43,P03,D10,p1,43,1644583199038.968,211.21425522413796,449.5551314396552,1265.205078125,331.50097463097313,3.0802912204077435,10.11749096231514
44,P03,D10,p1,44,1644583200326.172,,,900.143798828125,,,
45,P03,D10,p1,45,1644583201248.3162,397.5506181914893,451.7768505319149,544.088623046875,,,
46,P03,D10,p1,46,1644583201813.406,474.1208987674419,458.1024926279069,456.5771484375,76.83112400197385,0.0824250651077552,3.658412293650212
47,P03,D10,p1,47,1644583202291.983,550.8415843584906,462.90930998113214,566.589111328125,76.87112000372979,0.0625716837137831,3.494180594325634
48,P03,D10,p1,48,1644583202880.5708,651.0620038124999,467.677381625,510.7373046875,100.33377787534276,0.0475400033114994,4.560879334318132
49,P03,D10,p1,49,1644583203413.309,729.745871148148,470.1623365185184,276.9990234375,78.72309686309785,0.0315710108580925,3.578163752843544
50,P03,D10,p1,50,1644583203735.3152,218.18927608196725,491.1639333278689,654.3818359375,511.9875164730552,3.100561397527735,11.37571056785572
51,P03,D10,p1,51,1644583204412.693,311.65058436000004,487.01648162,532.35888671875,93.55328695834577,-0.0443470410572125,4.068225150558266
52,P03,D10,p1,52,1644583204968.174,421.76394669182383,490.077721509434,1881.19775390625,110.1559065764527,0.0277936440081425,4.76410222301337
53,P03,D10,p1,53,1644583206850.372,469.93786730769233,494.1095598717949,370.514892578125,48.3423452894479,0.0834987872412868,48.33054583977999
54,P03,D10,p1,54,1644583207243.89,414.3733947045455,492.17733097727273,510.0029296875,55.59805863667079,-3.106832122130391,2.41699902542776
55,P03,D10,p1,55,1644583207776.888,473.9911055833333,496.3571050000001,110.0009765625,59.76405241704918,0.0699950690525157,2.598988817049236
56,P03,D10,p1,56,1644583207910.532,,,1408.9091796875,,,
57,P03,D10,p1,57,1644583209353.44,423.9023446842105,304.986676631579,398.9990234375,,,
58,P03,D10,p1,58,1644583209775.44,469.9632414375,302.144785125,155.875,46.14848380014621,-0.06162045968819,2.006370628427365
59,P03,D10,p1,59,1644583209952.3062,642.2621723611111,410.6219382916667,778.394775390625,203.6030804201248,0.5618909765714496,9.699444259139696
60,P03,D10,p1,60,1644583210751.7012,710.6979562413794,414.455078586207,300.557861328125,68.54304836979767,0.055952298000178,3.2639167388154817
61,P03,D10,p1,61,1644583211097.26,276.9331855714286,288.634534,133.110107421875,451.6444239823234,-2.8592740706832585,10.036324952971922
62,P03,D10,p1,62,1644583211251.37,221.1419805490196,287.498104254902,544.94384765625,55.80277798119032,-3.121226135035335,2.657275141961444
63,P03,D10,p1,63,1644583211817.312,337.50987721428567,280.9719466904762,445.34619140625,116.55075335172118,-0.0560234274486794,5.550552108276555
64,P03,D10,p1,64,1644583212283.659,424.4828009615384,265.2722164230769,266.912109375,88.37856638130388,-0.1785896481190279,4.208356385191885
65,P03,D10,p1,65,1644583212572.508,490.28359761904767,271.17542542857143,305.9951171875,66.06506427246879,0.0894738066317807,3.0115799325576176
66,P03,D10,p1,66,1644583212880.517,690.9080475714285,284.3534959795918,448.56494140625,201.0567866602444,0.06559104319592,99.83374932238588
67,P03,D10,p1,67,1644583213372.083,248.3410505862069,311.32661525862073,623.252197265625,443.38820009576017,3.080720974997277,10.31111931728609
68,P03,D10,p1,68,1644583214016.334,364.3830615555556,298.0246917407408,278.305908203125,116.8019241240741,-0.1141320772945043,5.562319717387399
69,P03,D10,p1,69,1644583214315.644,489.9301164411765,305.70586297058827,400.00390625,125.78180862873356,0.0611054451050342,5.988426396188586
70,P03,D10,p1,70,1644583214737.638,585.4848477727273,313.11640177272733,223.10595703125,95.84165464547696,0.0773978989466619,4.358421883046415
71,P03,D10,p1,71,1644583214981.7432,665.9438187586206,342.29422879310346,300.488037109375,85.5861647799445,0.3478927627847475,4.075673804409248
72,P03,D10,p1,72,1644583215304.248,622.748784254902,346.9815703137255,544.175048828125,43.44861535547926,3.033499868684048,1.9734259821474929
73,P03,D10,p1,73,1644583215870.96,738.6349463968255,352.1595233809524,676.61181640625,116.00178349469712,0.0446516762182104,5.147201364889118
74,P03,D10,p1,74,1644583216569.571,780.2136906190475,354.6420914761905,298.0,41.65279240872636,0.0596368244644917,1.893371779801609
75,P03,D10,p1,75,1644583216869.572,593.8381624,347.0142823199999,189.615966796875,186.53155494835784,-3.100688385873119,93.22025976921348
76,P03,D10,p1,76,1644583217103.142,221.41149415384612,355.3148889230769,989.183837890625,372.5191582870736,3.11930844765796,8.475185364837328
77,P03,D10,p1,77,1644583218112.936,309.7796494,331.64961824,533.833984375,91.48210698334208,-0.2616631270611217,4.438701124199163
78,P03,D10,p1,78,1644583218668.918,407.385094224138,327.32471905172423,622.442138671875,97.70121602266065,-0.0442810547643085,4.41129853864523
