,participant,document,paragraph,Unnamed: 0,#timestamp,fixation_x,fixation_y,fixation_duration,saccade_length,saccade_angle,saccade_velocity
0,P01,D07,p2,0,1644574825985.372,482.4409644285715,176.9347877857143,134.0078125,315.02975704098463,-2.2388616408091733,9.54833420778358
1,P01,D07,p2,1,1644574826141.376,395.37378046428574,120.32375185714288,289.0,103.8532807010774,-2.565077228406684,4.7214419924482005
2,P01,D07,p2,2,1644574826463.377,622.457283,380.1919748461538,121.9970703125,345.106375547242,0.8526231406906025,10.457459490438133
3,P01,D07,p2,3,1644574826607.376,680.5254982156862,446.0615045686275,544.525146484375,87.81066315770023,0.8482606567319906,3.991039461761431
4,P01,D07,p2,4,1644574827184.8892,592.0956225161289,140.4024147419355,322.0,318.19384360782493,-1.852416085245144,9.645734377975346
5,P01,D07,p2,5,1644574827528.891,410.8647525862069,117.98398289655172,300.56591796875,182.6121964764741,-3.018516921702189,8.299817540697271
6,P01,D07,p2,6,1644574827850.95,,,1310.364990234375,,,
7,P01,D07,p2,7,1644574829184.316,459.8240143437501,252.36899415625,743.5458984375,,,
8,P01,D07,p2,8,1644574829949.863,514.6485600606061,257.9592649090909,344.35595703125,55.10881907780013,0.1016153677267951,2.504807338711556
9,P01,D07,p2,9,1644574830316.219,620.6989647692308,255.8499952596154,1198.953857421875,106.07137859628904,-0.0198866905753613,4.82142629983132
10,P01,D07,p2,10,1644574831537.171,692.1402225208334,251.45661597916668,511.22119140625,71.5762187505934,-0.0614190406119277,3.2537533517094754
11,P01,D07,p2,11,1644574832070.394,787.6557382166667,256.42574345,644.39697265625,95.64468603358144,0.0519774371122366,4.347099800194735
12,P01,D07,p2,12,1644574832736.834,879.9566639852941,254.4802399411764,799.0,92.32142699096732,-0.0210747124854152,4.188248327075604
13,P01,D07,p2,13,1644574833558.842,991.0593224242424,251.24484109090903,344.310791015625,111.14975716537552,-0.0291125774883454,4.830905925758196
14,P01,D07,p2,14,1644574833958.153,367.44031799082575,277.6494248715596,1188.183837890625,624.1777509132758,3.099277038452744,11.348636004548885
15,P01,D07,p2,15,1644574835168.3372,442.3451779074075,274.47451070370374,1177.08984375,74.9721156103787,-0.0423606011739237,3.407785619612166
16,P01,D07,p2,16,1644574836367.445,528.5569362954545,278.1291318465909,1931.5068359375,86.28918553362892,0.042365849300378,3.9190174078653457
17,P01,D07,p2,17,1644574838320.953,626.6856852586207,279.186039,622.21630859375,98.1344405690836,0.0107702003558003,4.4604583933038136
18,P01,D07,p2,18,1644574838965.168,728.4165784390244,277.5471979756098,888.384033203125,101.74409283681264,-0.0161081774228176,4.624988117011825
19,P01,D07,p2,19,1644574839875.552,844.70768332,277.30464430666666,811.3310546875,116.29135783333334,-0.002085742649555,5.28597081060606
20,P01,D07,p2,20,1644574840708.513,930.5079315730336,275.1910881573034,966.6240234375,85.82627639527831,-0.0246284695111061,3.967949208937875
21,P01,D07,p2,21,1644574841697.133,1002.077140568182,274.8233725454545,465.43603515625,71.57015363237957,-0.0051378572071094,3.253766529903955
22,P01,D07,p2,22,1644574842207.584,361.06335740206185,294.11806443298974,1176.489990234375,641.3041051981318,3.111501463054433,14.246487517106145
23,P01,D07,p2,23,1644574843418.074,460.99057154878057,300.45293230487806,887.97412109375,100.1278117112247,0.0633100994932811,2.944935638565432
24,P01,D07,p2,24,1644574844329.052,513.2800784909091,301.0906188090909,1220.072998046875,52.29339518838457,0.0121947008284162,2.273239797627178
25,P01,D07,p2,25,1644574845572.125,595.9143734545455,308.4744773636363,466.1630859375,82.96353458773801,0.0891191738928281,3.60711019946687
26,P01,D07,p2,26,1644574846061.29,681.4609846500001,309.3365415666667,642.89990234375,85.55095465111084,0.0100767875233582,3.7192908874389694
27,P01,D07,p2,27,1644574846727.191,742.9139850273972,303.3029916712328,910.315185546875,61.74848159853857,-0.0978678696245267,2.684602605056829
28,P01,D07,p2,28,1644574847659.506,834.2647552499999,301.49742745833333,243.73291015625,91.3686121290548,-0.019762604537099,4.153118733138855
29,P01,D07,p2,29,1644574847926.2358,888.5254895714286,299.6790531904762,211.002197265625,54.29119425909393,-0.0334992522043119,2.3608124813976192
30,P01,D07,p2,30,1644574848159.235,,,1109.767822265625,,,
31,P01,D07,p2,31,1644574849325.0078,475.5350396666666,301.4959573333333,110.964111328125,,,
32,P01,D07,p2,32,1644574849458.011,343.552124490909,319.0985256272728,1199.865966796875,133.15156893117714,3.009005043922206,6.0416167398761695
33,P01,D07,p2,33,1644574850678.8708,416.44569667213113,321.90409540983603,655.53515625,72.94754339348152,0.038469587453987,3.4747024425777155
34,P01,D07,p2,34,1644574851356.933,493.5565406031746,321.686565936508,677.852783203125,77.11115075544852,-0.0028209896975104,3.423039454371549
35,P01,D07,p2,35,1644574852056.7852,616.815944986842,324.3543122894736,821.44677734375,123.28827048677512,0.0216399708279238,5.604198869300856
36,P01,D07,p2,36,1644574852900.357,680.07574859375,323.69940265625,332.967041015625,63.26319355685616,-0.0103523280188947,2.859353381100844
37,P01,D07,p2,37,1644574853255.324,752.1796694999999,335.3780488888888,377.89697265625,73.04359101168208,0.1605751473448687,3.320163227803731
38,P01,D07,p2,38,1644574853655.22,847.0480176476191,327.99793144761907,1143.308837890625,95.15497682047328,-0.0776368912252225,4.3254182209865775
39,P01,D07,p2,39,1644574854820.524,,,1766.38427734375,,,
40,P01,D07,p2,40,1644574856608.9102,1032.8327894458598,329.54109672611463,1721.5908203125,,,
41,P01,D07,p2,41,1644574858362.8608,521.736842076923,331.007345076923,122.05908203125,511.0980505746204,3.1387238295737308,15.794196846028134
42,P01,D07,p2,42,1644574858506.9202,343.57289494444444,337.5498175277778,777.8330078125,178.28403182448736,3.104887505674977,8.103729698856993
43,P01,D07,p2,43,1644574859305.759,417.7066952073171,342.1370928414634,1000.046875,74.2755911199571,0.0617995291019227,3.5359463183094406
44,P01,D07,p2,44,1644574860327.805,517.8377329473684,352.68173157894734,189.486083984375,100.68472637398196,0.104921678526353,4.576781631240624
45,P01,D07,p2,45,1644574860539.292,579.4211740943397,346.50104209433965,644.8330078125,61.892819825950845,-0.1000278940741238,2.8131851170390902
46,P01,D07,p2,46,1644574861185.116,630.4660497090907,346.0935291818182,530.943115234375,51.04650226312551,-0.0079832549364419,51.51181898737672
47,P01,D07,p2,47,1644574861738.06,721.1532920666668,347.2288258444445,477.693115234375,90.69434836269522,0.0125181594514496,4.122287395064135
48,P01,D07,p2,48,1644574862237.752,790.8757613095238,345.5025226428571,444.64892578125,69.7438372909388,-0.0247545817850286,3.17035033397722
49,P01,D07,p2,49,1644574862704.4011,906.5587690222222,341.797127,555.101806640625,115.74233551439312,-0.0320196483549165,5.2609568682316015
50,P01,D07,p2,50,1644574863281.504,1006.5674847424244,345.76108913636364,766.13916015625,100.08724302238882,0.0396154298505678,4.549218201204055
51,P01,D07,p2,51,1644574864080.6511,605.2431163636363,365.02470127272727,100.100830078125,401.7864300933686,3.0936293611706778,12.172374595324278
52,P01,D07,p2,52,1644574864202.762,348.3082497391305,368.78282547101446,1510.3388671875,256.9623497418296,3.126966938228111,11.674794899144056
53,P01,D07,p2,53,1644574865736.034,452.588022282353,371.42266158823526,1021.85205078125,104.31318083728446,0.0253095337664588,4.54858505663037
54,P01,D07,p2,54,1644574866779.33,516.8559776470588,369.2352104705882,166.287841796875,64.30517109184855,-0.0340232855910294,2.9987360481836585
55,P01,D07,p2,55,1644574866967.619,613.4272869378531,373.38377583050845,1954.43017578125,96.66037643566143,0.0429321735196375,4.39345845222235
56,P01,D07,p2,56,1644574868945.05,,,1464.93896484375,,,
57,P01,D07,p2,57,1644574870431.987,821.5829638921568,370.22230225490193,1110.655029296875,,,
58,P01,D07,p2,58,1644574871564.6428,,,1156.212158203125,,,
59,P01,D07,p2,59,1644574872741.7532,977.5820883809524,367.1452635714285,211.348876953125,,,
60,P01,D07,p2,60,1644574872997.113,425.50183371428574,396.2235366428571,233.573974609375,552.8455060481436,3.088970904932107,12.561534111650902
61,P01,D07,p2,61,1644574873234.681,349.86432499019594,393.9596301568627,1027.602294921875,75.6713816350943,-3.1116705840259504,18.946755863888157
62,P01,D07,p2,62,1644574874285.2832,430.2590031043956,392.2206192747253,2064.888916015625,80.4134841176153,-0.021627547658789,3.496238439896317
63,P01,D07,p2,63,1644574876373.177,542.9341338053097,392.0608606106195,1298.910888671875,112.67524395934905,-0.0014178688416419,4.89788384829874
64,P01,D07,p2,64,1644574877694.085,462.2918488771931,381.5626332982456,610.715087890625,81.32275754750209,-3.0121380275365195,3.696981297608974
65,P01,D07,p2,65,1644574878326.798,533.7591305555555,385.84168488888895,277.864013671875,71.59526962732795,0.0598028789666734,3.25461937753635
66,P01,D07,p2,66,1644574878626.663,633.5712957307692,302.6063395,265.998046875,129.9638066500507,-0.6950843148557153,5.907183541641969
67,P01,D07,p2,67,1644574878915.29,584.6991628405797,314.4457726376812,765.989013671875,50.28575892097052,2.9039182314007523,2.2221913143049288
68,P01,D07,p2,68,1644574879703.278,659.2403747777779,323.5636955925926,277.618896484375,75.09679617718724,0.1217159147325544,3.4136422641914037
69,P01,D07,p2,69,1644574880002.898,527.3017399444444,387.5122095,177.961181640625,146.6192886105017,2.690272940914212,6.664217299354332
70,P01,D07,p2,70,1644574880202.854,449.0559510208333,392.2975070416667,510.951904296875,78.39198018190751,3.080511476508242,3.564102416724125
