,#timestamp,fixation_x,fixation_y,fixation_duration,saccade_length,saccade_angle,saccade_velocity
0,1644840995600.2942,842.8876104000001,480.61322185,200.0009765625,175.94008654455521,-2.3840304323343413,7.6488382615292165
1,1644840995833.291,763.5593105,280.7013155625,156.0009765625,215.0761480046696,-1.9485551121744829,6.518278830546031
2,1644840996010.291,774.0119363333333,201.2892842777778,178.0419921875,80.09699182601905,-1.439923449005194,3.81431984513061
3,1644840996210.332,,,198.451904296875,,,
4,1644840996455.41,923.3206082500001,591.8631629166666,162.89111328125,,,
5,1644840996620.767,587.2567114285714,368.32065064285706,112.385986328125,403.6213541680992,-2.5546209579613013,163.67023727081815
6,1644840996754.893,501.80275308888895,401.91452288888894,1043.968017578125,91.82008085600282,2.7670291950076122,4.223556674410003
7,1644840997832.835,533.390412875,172.880109,154.444091796875,231.20238536007793,-1.433744265492679,6.805298838253765
8,1644840998021.022,814.7335133846154,170.01023912820511,410.840087890625,281.35773733353165,-0.010200251344049553,8.338274754673257
9,1644840998453.998,886.8267094117647,183.8836254117647,189.296142578125,73.4159366921231,0.19011281949468314,3.316587551323343
10,1644840998664.863,490.402885825,397.51328812500003,422.27197265625,450.3215303515045,2.6473175686730053,20.878330522262043
11,1644840999109.253,563.2732385882352,394.85290435294115,165.7060546875,72.9188998384711,-0.036492244599814094,3.296824479699516
12,1644840999297.948,672.5699736052633,388.36285944736846,421.969970703125,109.48925503563713,-0.05931039987662224,4.762677363996152
13,1644840999753.252,800.2674980857142,390.9543284571429,365.825927734375,127.72381716055935,0.02029102249644144,3.8316396781043176
14,1644841000140.78,909.6663471132076,392.3504104716981,566.366943359375,109.40775664244129,0.01276070314161505,5.041332979429415
15,1644841000741.8052,1047.798201818182,392.5116864242425,343.7998046875,138.13194885387307,0.00116755023384325,3.9855484820052416
16,1644841001106.934,1140.2003795967742,397.87199543548394,666.239013671875,92.55752465857411,0.05794569299222903,4.339494769029801
17,1644841001795.766,1249.8842743571427,399.08360240476196,443.52392578125,109.69058647510094,0.011045903272029176,4.855065778433489
18,1644841002262.407,,,443.85107421875,,,
19,1644841002728.542,1209.8357468,403.8490916,143.743896484375,,,
20,1644841002895.497,1397.5281891346156,410.70121051923076,553.77099609375,187.81747640519583,0.03649095914273458,8.091680954168714
21,1644841003494.503,487.84036494531244,434.84687075781244,1399.194091796875,910.0082144610703,3.1150560861822614,20.117408309671443
22,1644841004916.102,580.5934082272727,431.0056522727272,221.428955078125,92.83254815804287,-0.041389744431933585,4.1433799049301365
23,1644841005160.395,630.6459561,438.82710403333334,310.010009765625,50.65997094546297,0.15501119654228765,2.215707691243194
24,1644841005569.998,819.153269,449.06787596875,333.73486328125,188.7852759793828,0.05427224626637119,1.895567385849029
25,1644841005926.394,888.6489609795918,453.4245160408163,522.169921875,69.6321155533841,0.06260742550140144,3.0727552823385182
26,1644841006469.722,,,455.507080078125,,,
27,1644841006948.148,1164.5765894242425,434.5909792424242,710.05615234375,,,
28,1644841007680.2148,1334.5063209047619,434.5987839523809,466.80517578125,169.92973165975084,4.5929043041584186e-05,7.720309029663466
29,1644841008168.554,,,188.77392578125,,,
30,1644841008379.735,451.728047368421,471.3113510526316,400.115966796875,,,
31,1644841008802.4148,574.91028506,468.0210793600001,531.958251953125,123.22617242500064,-0.026704252177685628,5.461252337161496
32,1644841009357.4778,680.5250753095238,473.16846976190476,510.083251953125,105.74015106571643,0.04869886686802959,4.576557358804426
33,1644841009890.247,764.3108805882354,473.224472,354.486083984375,83.78582399459256,0.0006683975832084607,3.6932775347264495
34,1644841010266.777,879.8446424230768,474.8052284615385,266.889892578125,115.5445754447199,0.013681349995782828,5.241556073866707
35,1644841010556.572,,,909.934814453125,,,
36,1644841011489.4978,1095.5291748076922,461.1946154230769,266.55419921875,,,
37,1644841011777.955,1221.6057908437501,470.20345728125,332.910888671875,126.39807096126563,0.07133405318004465,5.7707908226867755
38,1644841012177.178,1335.9376188461538,473.4351960384616,266.568115234375,114.37749354556637,0.02825878430607309,1.7248382394230042
39,1644841012465.621,1378.6097464074073,468.0373993333334,278.630859375,43.0121689743006,-0.12582639813848306,1.9662705816823132
40,1644841012765.481,1462.5711727222222,471.2438344444445,177.079833984375,84.02262989778318,0.038170834255516,3.957916738290589
41,1644841012987.952,,,421.132080078125,,,
42,1644841013454.4412,535.59151525,491.91033666666664,243.658935546875,,,
43,1644841013720.926,639.7469099230768,500.1246805384616,299.93212890625,104.47880974029368,0.07870332997403162,4.577198830913342
44,1644841014120.765,779.4490486904763,503.2823486190476,443.26806640625,139.7378203776375,0.022599013397782825,1.398682639245593
45,1644841014687.636,884.2912268965517,493.8358513103448,199.68603515625,105.26689243251086,-0.08985942341760816,0.8516530273951554
46,1644841014908.931,986.9820785800002,504.22596968,532.739990234375,103.21514219923094,0.10083546349694046,4.776513641939328
47,1644841015463.43,1118.0969473181815,509.90713590909087,222.60302734375,131.2378925994816,0.043302600937751255,6.031421128611238
48,1644841015708.1858,1186.7527171428574,505.97539719047614,211.315185546875,68.7682579361316,-0.057204937701597895,3.104264856029393
49,1644841015941.4429,1300.311638794872,507.3995512820512,411.576171875,113.56785153222248,0.012540445212095701,5.175845293143548
50,1644841016374.6409,1440.4101791142857,509.72392865714284,366.55615234375,140.1178208858968,0.01658949575196824,6.480387908592
51,1644841016785.095,422.26053568421054,532.1450104210526,189.074951171875,1018.3964853259527,3.1195748110714097,23.19918136155135
52,1644841016995.934,509.90200047619044,537.2222939047618,444.432861328125,87.78841129931558,0.05786775512985578,4.033622738900194
