#timestamp,tobii_system_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil
1644588249883.477,78002250827,328.539359,334.892315,3.384483,0.23642,0.451939,3.493378,0.244604,0.420176,3.275589
1644588249891.471,78002261930,327.412457,335.41761,3.390968,0.236426,0.452508,3.495453,0.242948,0.420976,3.286484
1644588249902.049,78002273034,327.792596,334.959732,3.389175,0.236313,0.450886,3.494843,0.243618,0.421405,3.283508
1644588249914.05,78002284137,327.550514,333.700378,3.389442,0.235773,0.449085,3.496948,0.243803,0.419927,3.281937
1644588249925.0469,78002295240,328.516277,331.692249,3.386078,0.236506,0.448446,3.497299,0.244484,0.415336,3.274857
1644588249935.051,78002306343,327.602318,331.970512,3.390228,0.236623,0.448462,3.500977,0.243029,0.416045,3.27948
1644588249947.052,78002317446,329.136188,333.963043,3.393784,0.239238,0.451463,3.502243,0.24266,0.418233,3.285324
1644588249958.05,78002328549,321.557793,340.573849,3.406731,0.234226,0.457173,3.509491,0.236576,0.429738,3.30397
1644588249968.05,78002339653,316.546161,343.006359,3.407127,0.23089,0.460837,3.507904,0.232574,0.432408,3.306351
1644588249980.0552,78002350756,308.248685,344.84301,3.410393,0.223455,0.461646,3.513855,0.227861,0.436382,3.306931
1644588249991.052,78002361860,309.448113,342.379944,3.396843,0.223446,0.460662,3.504837,0.229626,0.430953,3.288849
1644588250002.052,78002372963,311.142991,341.502903,3.397835,0.224558,0.460462,3.506668,0.230995,0.428868,3.289001
1644588250013.052,78002384066,312.488405,338.895515,3.397972,0.22652,0.456473,3.505951,0.231003,0.426068,3.289993
1644588250025.053,78002395169,312.55123,339.940865,3.399239,0.227397,0.458115,3.507782,0.230218,0.427147,3.290695
1644588250035.051,78002406272,312.967327,341.214237,3.396812,0.227242,0.462135,3.509308,0.230982,0.426444,3.284317
1644588250047.053,78002417375,313.662358,342.372116,3.396225,0.227709,0.466502,3.510513,0.231533,0.425092,3.281937
1644588250058.052,78002428478,314.138258,341.619598,3.40152,0.227932,0.467169,3.521637,0.232007,0.422466,3.281403
1644588250068.053,78002439582,312.841299,341.008953,3.403656,0.227433,0.466894,3.521301,0.230607,0.42115,3.286011
1644588250080.055,78002450686,312.931268,340.760044,3.405029,0.228033,0.466147,3.523392,0.230139,0.421249,3.286667
1644588250091.052,78002461789,312.387301,340.422924,3.402069,0.227177,0.465107,3.5186,0.230198,0.421411,3.285538
1644588250101.6692,78002472892,311.739178,339.938038,3.404655,0.226331,0.461493,3.524094,0.230096,0.423762,3.285217
1644588250113.193,78002483995,309.284784,340.622028,3.402557,0.225582,0.461807,3.521164,0.227251,0.425229,3.283951
1644588250124.213,78002495098,311.292946,340.359215,3.408783,0.228265,0.461877,3.527679,0.227508,0.424475,3.289886
1644588250135.248,78002506201,312.688464,339.28054,3.410187,0.229229,0.461338,3.52951,0.228588,0.422205,3.290863
1644588250147.198,78002517304,318.392541,337.029064,3.418991,0.232144,0.45832,3.536987,0.234024,0.41936,3.300995
1644588250158.195,78002528407,342.554836,324.619984,3.423309,0.245364,0.440619,3.535873,0.25618,0.404746,3.310745
1644588250168.223,78002539512,360.212644,315.090054,3.427612,0.258159,0.425084,3.539352,0.269238,0.395463,3.315872
1644588250180.197,78002550615,380.653325,303.39156,3.427994,0.272434,0.408537,3.540817,0.284891,0.381545,3.31517
