#timestamp,tobii_system_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil
1644575168477.343,64920848979,680.360508,376.948906,2.530319,0.510113,0.506294,2.43895,0.486022,0.475343,2.621689
1644575168488.341,64920860082,679.498922,371.165749,2.523796,0.510041,0.491205,2.41478,0.484833,0.475373,2.632812
1644575168500.338,64920871185,663.387421,338.825203,2.50956,0.490386,0.44155,2.383423,0.480899,0.440808,2.635696
1644575168511.3389,64920882288,648.18013,248.985912,2.488579,0.47004,0.343358,2.373489,0.478979,0.305043,2.603668
1644575168522.339,64920893392,628.293919,147.501818,2.51963,0.445863,0.197325,2.415039,0.47404,0.186794,2.624222
1644575168533.347,64920904495,629.229963,109.131031,2.52726,0.452975,0.146743,2.433685,0.468299,0.137453,2.620834
1644575168544.338,64920915599,627.313582,118.020292,2.534828,0.458016,0.149776,2.447235,0.460452,0.157569,2.622421
1644575168555.343,64920926702,628.87025,123.944841,2.542206,0.464704,0.167271,2.458023,0.456043,0.155502,2.626389
1644575168566.34,64920937805,630.507076,127.761772,2.548538,0.467219,0.173442,2.465225,0.455925,0.159271,2.631851
1644575168578.339,64920948908,630.896792,126.357153,2.544807,0.469682,0.169603,2.456299,0.454033,0.159452,2.633316
1644575168588.341,64920960011,624.173113,121.456993,2.537727,0.466016,0.159522,2.454636,0.447854,0.156772,2.620819
1644575168600.338,64920971114,624.364022,121.937073,2.53495,0.464688,0.160591,2.445099,0.449462,0.156953,2.624802
1644575168611.34,64920982218,623.693468,121.937147,2.538025,0.466762,0.154445,2.434906,0.446405,0.1631,2.641144
1644575168622.339,64920993321,625.208021,127.262987,2.546822,0.467902,0.161145,2.434326,0.447483,0.170269,2.659317
1644575168633.337,64921004424,626.757178,128.419012,2.550262,0.471687,0.165286,2.446411,0.445967,0.169138,2.654114
1644575168644.339,64921015528,629.410329,127.177929,2.542763,0.470713,0.165073,2.435165,0.450825,0.16612,2.65036
1644575168655.339,64921026631,631.166353,128.116585,2.540085,0.470678,0.173218,2.433914,0.453431,0.160419,2.646255
1644575168666.3389,64921037734,632.612249,123.581177,2.533852,0.470759,0.165652,2.424622,0.455466,0.156174,2.643082
1644575168678.3408,64921048837,631.425289,124.15143,2.530464,0.472043,0.163115,2.420868,0.452445,0.160196,2.64006
1644575168688.342,64921059940,631.195257,123.600266,2.531441,0.473573,0.15748,2.435394,0.450578,0.164396,2.627487
1644575168700.339,64921071044,629.601503,127.555229,2.532784,0.470091,0.156318,2.419098,0.451727,0.175857,2.646469
1644575168711.3408,64921082147,628.954804,124.796808,2.527969,0.471746,0.155098,2.416824,0.449124,0.169894,2.639114
1644575168721.3389,64921093250,625.258441,132.342253,2.526367,0.467515,0.167735,2.415909,0.447944,0.176906,2.636826
1644575168733.34,64921104353,620.876134,129.020325,2.521011,0.466297,0.172807,2.430374,0.442746,0.163184,2.611649
1644575168745.34,64921115457,622.512858,136.094267,2.525337,0.462802,0.188747,2.446625,0.448637,0.165665,2.60405
1644575168755.338,64921126560,628.940698,132.682142,2.523552,0.469177,0.178651,2.440674,0.451673,0.166875,2.60643
1644575168766.342,64921137663,634.792757,137.917391,2.528488,0.473551,0.184168,2.437683,0.455867,0.174992,2.619293
1644575168778.338,64921148766,627.690699,131.853664,2.5326,0.472555,0.171613,2.430618,0.446465,0.171756,2.634583
1644575168788.338,64921159870,622.74004,124.897133,2.527084,0.468414,0.168596,2.422073,0.443358,0.156657,2.632095
1644575168800.3398,64921170973,619.379005,116.790894,2.511551,0.46768,0.153919,2.415009,0.439171,0.150224,2.608093
1644575168811.34,64921182076,622.228377,120.903116,2.510239,0.468093,0.155822,2.416382,0.44293,0.15903,2.604095
1644575168821.337,64921193179,623.52098,129.786158,2.505547,0.466254,0.164795,2.41301,0.446661,0.17319,2.598083
1644575168833.3398,64921204282,625.953808,131.797428,2.512329,0.466083,0.169854,2.415848,0.450394,0.173369,2.60881
1644575168844.341,64921215386,627.090654,129.168652,2.496613,0.470293,0.159424,2.383362,0.447848,0.176953,2.609863
1644575168855.338,64921226489,621.065069,129.762383,2.495445,0.466755,0.159233,2.38739,0.442564,0.17869,2.6035
1644575168866.341,64921237592,614.273974,136.165255,2.49366,0.460711,0.169174,2.384232,0.438665,0.185423,2.603088
1644575168877.338,64921248696,609.074863,143.73805,2.502724,0.452075,0.188072,2.409897,0.43969,0.186246,2.595551
1644575168888.341,64921259799,608.302961,144.864824,2.499786,0.4525,0.201337,2.402451,0.438134,0.175915,2.597122
1644575168899.914,64921270902,610.057215,141.310312,2.490311,0.456045,0.196106,2.389114,0.437157,0.171889,2.591507
1644575168910.9148,64921282005,610.605924,145.129097,2.498894,0.458005,0.21078,2.41423,0.436001,0.16716,2.583557
1644575168921.932,64921293108,580.802785,165.533421,2.505882,0.439227,0.235977,2.432587,0.411143,0.1951,2.579178
1644575168932.913,64921304211,545.198026,199.847191,2.517342,0.429625,0.261584,2.423889,0.368615,0.258851,2.610794
1644575168943.913,64921315315,462.976644,239.496883,2.515923,0.360617,0.308383,2.393829,0.31724,0.315307,2.638016
1644575168954.914,64921326418,395.344414,258.987659,2.490967,0.295083,0.331997,2.354492,0.283752,0.34245,2.627441
1644575168965.913,64921337522,391.696841,256.743027,2.487656,0.293427,0.335143,2.372833,0.280067,0.333459,2.602478
1644575168977.914,64921348625,387.774903,256.762173,2.479317,0.29539,0.338229,2.363968,0.272363,0.330422,2.594666
1644575168988.911,64921359728,390.354308,263.138454,2.473534,0.299525,0.359282,2.365616,0.272004,0.325975,2.581451
1644575168999.916,64921370831,386.543976,260.130741,2.468887,0.296865,0.35964,2.364059,0.269085,0.317784,2.573715
1644575169010.915,64921381934,386.795198,265.785278,2.479195,0.295527,0.362518,2.380112,0.270791,0.329631,2.578278
1644575169021.913,64921393037,385.107525,264.825325,2.477646,0.293628,0.358301,2.382034,0.27022,0.331348,2.573257
1644575169033.915,64921404140,387.269754,266.181358,2.478188,0.297234,0.358228,2.382996,0.269779,0.334952,2.57338
1644575169043.915,64921415244,383.545606,261.186356,2.480515,0.294307,0.352718,2.383987,0.267254,0.327455,2.577042
1644575169054.914,64921426348,382.904953,259.524799,2.478813,0.29291,0.346625,2.375168,0.267713,0.329221,2.582458
1644575169065.9138,64921437451,380.491869,255.743145,2.474152,0.292664,0.345925,2.374725,0.264425,0.320073,2.573578
1644575169077.912,64921448554,385.692466,261.425331,2.488976,0.293391,0.362119,2.41362,0.271312,0.318676,2.564331
1644575169088.909,64921459657,386.895365,262.914608,2.503769,0.296707,0.367688,2.428146,0.269757,0.316986,2.579391
1644575169099.506,64921470760,379.348753,266.018337,2.525719,0.28941,0.365757,2.447495,0.266005,0.326999,2.603943
1644575169110.511,64921481863,369.832919,252.063091,2.501892,0.285209,0.338055,2.399094,0.256274,0.31836,2.604691
1644575169121.506,64921492966,351.078415,246.57645,2.489876,0.273154,0.327052,2.393753,0.24087,0.315074,2.585999
1644575169132.506,64921504069,348.281976,243.217335,2.474075,0.270861,0.321745,2.37886,0.239068,0.311634,2.56929
1644575169144.506,64921515174,346.982666,250.194672,2.490173,0.269414,0.337512,2.413589,0.238614,0.314036,2.566757
1644575169154.511,64921526277,343.82402,249.439064,2.502571,0.266709,0.337268,2.433716,0.236694,0.312313,2.571426
1644575169166.508,64921537380,349.126281,256.654472,2.52285,0.272534,0.345703,2.445526,0.238632,0.322668,2.600174
1644575169177.5068,64921548483,347.718377,257.108837,2.515617,0.272419,0.34397,2.414108,0.236685,0.325584,2.617126
1644575169188.507,64921559586,350.773864,259.490742,2.508118,0.272272,0.351047,2.402206,0.241306,0.32471,2.614029
1644575169199.5088,64921570689,343.695204,255.383801,2.496849,0.268375,0.347629,2.401215,0.23484,0.317433,2.592484
1644575169213.509,64921581792,345.421531,255.634987,2.506516,0.268477,0.34963,2.421173,0.237265,0.316086,2.591858
1644575169221.525,64921592895,345.193473,255.154747,2.517685,0.272837,0.348083,2.44368,0.232571,0.316383,2.59169
1644575169232.52,64921604000,344.772838,253.56451,2.521362,0.271355,0.349625,2.454697,0.233437,0.310699,2.588028
1644575169243.508,64921615103,344.34921,254.903641,2.520454,0.273819,0.346561,2.457947,0.230352,0.317251,2.582962
1644575169255.51,64921626206,337.068536,250.222435,2.515503,0.265647,0.339878,2.45372,0.227865,0.311743,2.577286
1644575169266.508,64921637309,339.587181,250.340767,2.517906,0.264133,0.336032,2.450562,0.233066,0.315898,2.585251
1644575169277.511,64921648412,340.35662,244.145256,2.515717,0.261279,0.332742,2.464294,0.237047,0.303053,2.567139
1644575169288.5088,64921659515,346.469161,246.168583,2.533257,0.263088,0.337595,2.468491,0.244187,0.303469,2.598022
1644575169299.51,64921670618,346.608389,245.729187,2.531975,0.26407,0.341476,2.461441,0.243409,0.298444,2.602509
1644575169310.508,64921681721,340.827481,249.283276,2.544289,0.259963,0.353497,2.475586,0.239052,0.295678,2.612991
1644575169321.507,64921692825,339.071406,251.460938,2.533096,0.260522,0.357394,2.467453,0.235922,0.297452,2.59874
1644575169332.511,64921703929,337.822953,251.881771,2.525742,0.262605,0.36323,2.459106,0.232011,0.292713,2.592377
1644575169343.509,64921715032,349.473934,253.363541,2.529175,0.275851,0.356309,2.451233,0.235824,0.303491,2.607117
1644575169354.5078,64921726135,346.080055,250.105396,2.547371,0.274501,0.349243,2.468597,0.232205,0.302073,2.626144
1644575169366.508,64921737238,346.097733,249.753788,2.562035,0.272751,0.346718,2.490173,0.23398,0.303683,2.633896
1644575169377.507,64921748341,341.509791,245.199886,2.551598,0.268927,0.339319,2.470825,0.231087,0.299222,2.63237
1644575169388.51,64921759444,343.046938,244.864174,2.554077,0.266842,0.329945,2.476852,0.235423,0.307722,2.631302
1644575169399.51,64921770547,339.943017,242.277821,2.542618,0.265432,0.323438,2.461517,0.232288,0.307494,2.623718
1644575169410.513,64921781651,335.92711,240.537609,2.539116,0.263471,0.318065,2.458664,0.22837,0.308335,2.619568
1644575169421.5232,64921792754,336.519908,240.137238,2.538353,0.264716,0.324097,2.461319,0.227993,0.30126,2.615387
1644575169432.509,64921803858,338.00222,243.996563,2.563255,0.262186,0.329035,2.48526,0.232693,0.306373,2.641251
1644575169443.5078,64921814961,340.401187,241.469913,2.561882,0.261661,0.326634,2.485046,0.23673,0.302194,2.638718
1644575169454.51,64921826064,337.263629,242.483345,2.565804,0.259822,0.325039,2.477478,0.233976,0.306428,2.654129
1644575169466.5068,64921837167,343.661058,243.976524,2.564476,0.264109,0.321498,2.474976,0.239055,0.313857,2.653976
1644575169477.512,64921848270,366.245557,253.377537,2.58181,0.278278,0.329113,2.480743,0.257953,0.330725,2.682877
1644575169487.507,64921859373,399.32129,250.889591,2.593712,0.299268,0.320261,2.501251,0.285389,0.333097,2.686172
1644575169499.5068,64921870477,409.495485,248.069664,2.588127,0.303802,0.31899,2.494492,0.295752,0.327025,2.681763
