#timestamp,tobii_system_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil
1645106979658.406,421395751036,496.339874,601.731437,2.297691,0.267552,0.507028,2.247299,0.249468,0.495858,2.348083
1645106979673.405,421395762140,495.457406,600.587672,2.294533,0.267457,0.506519,2.255249,0.248644,0.49446,2.333817
1645106979681.405,421395773243,495.574937,599.251878,2.292816,0.267086,0.507071,2.257614,0.249138,0.491682,2.328018
1645106979692.404,421395784346,494.658837,598.88944,2.287857,0.266597,0.507602,2.257736,0.248673,0.490547,2.317978
1645106979703.407,421395795449,495.917673,603.675628,2.28466,0.265948,0.516885,2.253677,0.250633,0.489241,2.315643
1645106979715.41,421395806553,495.944996,603.816819,2.291527,0.264191,0.516362,2.258774,0.252418,0.49,2.32428
1645106979725.406,421395817656,493.105288,599.695319,2.283653,0.261785,0.51388,2.250214,0.251866,0.485612,2.317093
1645106979737.405,421395828759,493.183451,597.07936,2.275192,0.261133,0.509964,2.243301,0.252599,0.485168,2.307083
1645106979748.406,421395839862,495.712767,597.782725,2.273842,0.262906,0.510049,2.242874,0.253461,0.486255,2.30481
1645106979758.403,421395850966,497.902193,599.707907,2.281197,0.265652,0.51402,2.25647,0.252996,0.485493,2.305923
1645106979770.405,421395862069,499.848833,597.287017,2.278961,0.26645,0.512332,2.262558,0.254226,0.483146,2.295364
1645106979781.405,421395873172,502.618732,600.539088,2.275009,0.269437,0.518085,2.266068,0.254124,0.482814,2.283951
1645106979792.403,421395884275,506.974697,603.650343,2.268517,0.272653,0.518579,2.250763,0.255446,0.487505,2.28627
1645106979803.406,421395895378,508.642902,604.498297,2.272491,0.275217,0.518751,2.24295,0.25462,0.488746,2.302032
1645106979814.406,421395906481,501.719484,596.002668,2.269989,0.271853,0.508603,2.232605,0.250771,0.484735,2.307373
1645106979825.42,421395917585,494.519663,592.876697,2.27639,0.267558,0.506066,2.242859,0.247567,0.482061,2.309921
1645106979837.403,421395928688,487.720456,590.324503,2.270622,0.266409,0.503502,2.23938,0.241633,0.480372,2.301865
1645106979848.417,421395939792,503.399134,599.121773,2.279808,0.273812,0.510677,2.251846,0.250562,0.487859,2.30777
1645106979859.416,421395950895,510.472698,598.141569,2.274193,0.2756,0.509468,2.240753,0.256142,0.487435,2.307632
1645106979870.404,421395961998,526.292067,599.564552,2.283241,0.278837,0.505655,2.245728,0.269384,0.493619,2.320755
1645106979881.419,421395973101,523.410587,598.251754,2.274231,0.275386,0.503284,2.232498,0.269833,0.493803,2.315964
1645106979892.404,421395984204,524.295301,597.713041,2.271919,0.277641,0.504024,2.237167,0.268499,0.492164,2.306671
