#timestamp,tobii_system_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil
1645187208906.426,24082474720,530.737009,413.790303,2.929329,0.281147,0.361069,2.939957,0.271704,0.328582,2.918701
1645187208917.872,24082485824,529.698973,418.450767,2.925301,0.279268,0.366064,2.934937,0.272502,0.331354,2.915665
1645187208928.9092,24082496927,528.121147,420.351487,2.923889,0.275511,0.369105,2.930466,0.274615,0.331481,2.917313
1645187208939.874,24082508030,526.71401,414.989591,2.926758,0.274706,0.361862,2.932693,0.273954,0.329787,2.920822
1645187208950.9329,24082519133,528.368912,411.556113,2.926628,0.275538,0.35626,2.932602,0.274846,0.329667,2.920654
1645187208961.9082,24082530236,525.854187,410.11228,2.922981,0.27569,0.356641,2.929733,0.272075,0.32688,2.916229
1645187208972.922,24082541339,524.313927,412.082255,2.916061,0.276474,0.359226,2.9207,0.269686,0.327577,2.911423
1645187208983.874,24082552443,526.837835,410.781831,2.923759,0.279419,0.362751,2.92804,0.26937,0.321886,2.919479
1645187208994.932,24082563546,526.117144,414.234388,2.926796,0.279493,0.364115,2.928864,0.268546,0.326276,2.924728
1645187209005.882,24082574650,522.990675,412.004006,2.925964,0.277696,0.365358,2.930679,0.267086,0.321315,2.921249
1645187209016.917,24082585753,517.783499,415.050709,2.918098,0.274697,0.36505,2.92247,0.264661,0.326701,2.913727
1645187209028.877,24082596856,523.138561,408.947182,2.91407,0.278414,0.360406,2.919861,0.266522,0.321173,2.908279
1645187209038.884,24082607959,525.412188,410.391873,2.922096,0.277793,0.357705,2.920105,0.269512,0.326281,2.924088
1645187209050.872,24082619062,526.307144,408.096278,2.92186,0.277087,0.352584,2.921829,0.27115,0.327576,2.92189
1645187209061.875,24082630165,524.944954,405.246842,2.920982,0.273066,0.346189,2.921677,0.273752,0.329223,2.920288
1645187209072.874,24082641269,523.956556,401.738423,2.910721,0.272677,0.348204,2.913651,0.273111,0.32136,2.907791
1645187209083.909,24082652372,523.826723,405.009556,2.913353,0.274269,0.357282,2.918106,0.271384,0.317734,2.9086
1645187209094.875,24082663476,517.735863,409.954137,2.911995,0.272357,0.361109,2.921707,0.266952,0.322148,2.902283
1645187209105.912,24082674579,519.41803,409.317541,2.911194,0.275019,0.360227,2.923264,0.266041,0.321969,2.899124
1645187209116.875,24082685682,520.743456,404.162604,2.906631,0.277039,0.351413,2.910339,0.265402,0.322191,2.902924
1645187209127.909,24082696785,527.367067,405.592221,2.903923,0.281912,0.355677,2.906357,0.267429,0.32031,2.901489
1645187209138.874,24082707888,526.38073,406.576842,2.903259,0.282206,0.356182,2.902374,0.266107,0.321446,2.904144
1645187209150.872,24082718991,523.863401,402.408332,2.904114,0.278538,0.354421,2.906525,0.267153,0.31626,2.901703
1645187209161.874,24082730095,519.799633,397.992647,2.908165,0.275791,0.351856,2.90921,0.265667,0.311465,2.90712
1645187209172.874,24082741198,517.584286,399.173748,2.905502,0.272877,0.354431,2.909164,0.266273,0.310859,2.90184
1645187209183.875,24082752302,519.434195,407.485539,2.906334,0.274856,0.361324,2.90036,0.266221,0.317818,2.912308
1645187209194.8782,24082763405,519.243336,410.427886,2.906349,0.274641,0.361892,2.895554,0.266237,0.322154,2.917145
1645187209205.914,24082774508,518.728123,408.007246,2.906769,0.274701,0.355585,2.900925,0.265641,0.324427,2.912613
1645187209216.875,24082785611,515.668545,404.644704,2.902725,0.272363,0.352499,2.912521,0.264791,0.321909,2.892929
1645187209227.877,24082796714,518.435612,402.449477,2.897049,0.274,0.351819,2.914658,0.266037,0.31893,2.87944
1645187209238.875,24082807817,520.09901,402.968663,2.8918,0.275209,0.354053,2.905228,0.266561,0.317561,2.878372
1645187209250.874,24082818921,520.199032,405.054688,2.891411,0.277147,0.355781,2.900284,0.264727,0.31931,2.882538
1645187209261.871,24082830024,520.042791,402.020556,2.887756,0.276052,0.353127,2.891403,0.26566,0.316907,2.884109
1645187209272.874,24082841128,517.205544,402.073431,2.890869,0.273564,0.349582,2.901962,0.265192,0.32054,2.879776
1645187209283.875,24082852231,516.893892,399.202144,2.884888,0.271119,0.344011,2.897751,0.267312,0.321326,2.872025
1645187209294.874,24082863334,514.11355,403.530478,2.884224,0.270086,0.345938,2.896637,0.265449,0.326613,2.871811
1645187209305.8838,24082874437,517.950354,407.377392,2.874107,0.272539,0.356722,2.878998,0.266993,0.32224,2.869217
1645187209316.91,24082885540,520.606928,410.601586,2.874184,0.273667,0.365348,2.880753,0.268632,0.318988,2.867615
1645187209327.876,24082896643,521.255693,410.953975,2.880058,0.275382,0.369413,2.892227,0.267593,0.315511,2.867889
1645187209338.912,24082907746,517.094107,410.044563,2.881767,0.273079,0.365415,2.896896,0.265561,0.317993,2.866638
1645187209350.873,24082918850,517.956047,408.065164,2.88681,0.272791,0.35771,2.899231,0.266746,0.322398,2.87439
1645187209360.91,24082929954,518.545618,408.207589,2.886482,0.274286,0.351321,2.890701,0.265866,0.329025,2.882263
1645187209372.873,24082941057,520.105247,404.773039,2.892303,0.276813,0.347974,2.896698,0.264963,0.326648,2.887909
1645187209383.875,24082952160,514.683666,409.270871,2.886681,0.277721,0.355157,2.893707,0.258408,0.326961,2.879654
1645187209394.877,24082963263,517.156963,408.310962,2.879692,0.276705,0.356423,2.884445,0.262,0.324096,2.874939
1645187209405.8809,24082974366,519.268885,412.593877,2.879745,0.278945,0.363609,2.881973,0.26196,0.324048,2.877518
1645187209416.912,24082985469,519.554729,410.011142,2.888054,0.277042,0.361379,2.88739,0.26416,0.321973,2.888718
1645187209427.912,24082996572,520.434837,411.326498,2.893448,0.277018,0.367964,2.907486,0.265102,0.31758,2.87941
1645187209438.909,24083007676,515.951872,407.091755,2.892029,0.274828,0.362855,2.90593,0.262622,0.315631,2.878128
1645187209450.5242,24083018780,517.013311,405.780047,2.892464,0.27649,0.361793,2.908066,0.262065,0.314507,2.876862
1645187209461.527,24083029883,517.2785,405.177945,2.893982,0.275468,0.357242,2.905502,0.263363,0.318054,2.882462
1645187209472.58,24083040986,518.586273,408.497107,2.90477,0.274831,0.3589,2.918884,0.265363,0.321929,2.890656
1645187209483.5251,24083052089,519.295092,410.147756,2.908958,0.276183,0.360121,2.928528,0.26475,0.323458,2.889389
1645187209494.593,24083063192,520.545616,404.210526,2.907898,0.277212,0.356608,2.9263,0.265023,0.317076,2.889496
1645187209505.559,24083074295,519.962969,403.483611,2.914291,0.275339,0.357262,2.933594,0.266289,0.315211,2.894989
1645187209516.5269,24083085398,526.496572,399.858838,2.919724,0.277405,0.355606,2.933548,0.271029,0.310826,2.905899
1645187209528.527,24083096502,527.490463,402.926624,2.930656,0.279486,0.358187,2.945297,0.269983,0.313358,2.916016
1645187209539.5342,24083107606,530.444183,400.86472,2.936752,0.280567,0.354624,2.955078,0.271979,0.313484,2.918427
1645187209550.525,24083118709,525.636349,398.455578,2.941307,0.278332,0.353854,2.959808,0.269205,0.310239,2.922806
1645187209561.527,24083129812,519.382124,395.621717,2.943497,0.27529,0.346207,2.954681,0.265733,0.313162,2.932312
1645187209572.5232,24083140915,520.322485,399.982238,2.951706,0.276651,0.348128,2.960083,0.265352,0.318509,2.943329
1645187209583.528,24083152018,524.809856,401.165575,2.957077,0.278924,0.349015,2.959015,0.267752,0.319595,2.955139
1645187209594.561,24083163121,525.172119,402.242643,2.95665,0.28008,0.352968,2.960068,0.266974,0.317437,2.953232
1645187209605.174,24083174224,526.971016,402.372926,2.95536,0.280583,0.353366,2.963181,0.268345,0.317256,2.94754
1645187209617.1829,24083185328,520.860529,401.955003,2.950874,0.278132,0.350008,2.969086,0.264431,0.319917,2.932663
1645187209628.197,24083196432,520.378189,404.983574,2.958366,0.276675,0.354426,2.98053,0.265385,0.320547,2.936203
1645187209639.22,24083207535,519.07691,403.79709,2.970551,0.276965,0.355903,2.990463,0.26374,0.317092,2.950638
1645187209650.185,24083218638,520.54141,405.432236,2.984612,0.275413,0.357312,3.002731,0.266818,0.318408,2.966492
1645187209764.184,24083229741,520.415869,403.003335,2.982475,0.274506,0.353917,3.001602,0.267594,0.317755,2.963348
1645187209765.185,24083240844,521.018572,406.662923,2.989693,0.275357,0.354107,3.011963,0.267371,0.323665,2.967422
1645187209766.19,24083251947,525.926971,408.914942,2.980789,0.279178,0.355156,3.001984,0.268663,0.326369,2.959595
1645187209767.186,24083263050,527.20459,414.246511,2.992111,0.279813,0.364395,3.027115,0.269358,0.326016,2.957108
1645187209767.186,24083274153,528.159428,415.198964,2.995689,0.280675,0.363354,3.029648,0.269491,0.328644,2.961731
1645187209768.1848,24083285258,525.631714,415.321952,3.002823,0.280397,0.363423,3.041031,0.267136,0.32878,2.964615
1645187209769.197,24083296361,528.527699,414.007759,3.001274,0.283156,0.359502,3.030014,0.267394,0.330511,2.972534
1645187209770.188,24083307464,526.045504,406.443661,2.999588,0.282005,0.356322,3.024673,0.265959,0.321085,2.974503
1645187209770.188,24083318567,523.098679,407.014364,3.003929,0.278079,0.356807,3.028595,0.266815,0.32155,2.979263
1645187209771.183,24083329670,518.844938,404.245895,3.004128,0.275582,0.35355,3.026215,0.264882,0.320193,2.98204
1645187209772.217,24083340773,519.041376,404.611391,3.009926,0.276395,0.352175,3.032074,0.264274,0.322177,2.987778
1645187209783.186,24083351876,518.451033,401.712352,3.010292,0.274873,0.350038,3.029419,0.26518,0.319482,2.991165
1645187209794.4282,24083362979,520.654593,402.693862,3.011963,0.274602,0.351512,3.03038,0.267747,0.319645,2.993546
