#timestamp,date_time,label
1644833891550,2022-02-14_12-18-11.550603,1
1644833928529,2022-02-14_12-18-48.529134,2
1644833961286,2022-02-14_12-19-21.286937,3
1644834001054,2022-02-14_12-20-01.054672,4
1644834021506,2022-02-14_12-20-21.506844,5
1644834048216,2022-02-14_12-20-48.216586,6
1644834092471,2022-02-14_12-21-32.471345,7
1644834121959,2022-02-14_12-22-01.959653,8
